GeneID	cat	group	phylalist	orderlist	genuslist	specieslist
BKHAPHKO_00173	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00174	multispecies	Bacteroides	Bacteroidetes, Bacteriophage	Bacteroidales	Bacteroides	ovatus, xylanisolvens
BKHAPHKO_00175	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00176	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	xylanisolvens
BKHAPHKO_00177	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00178	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecimuris, fragilis, ovatus, sp., thetaiotaomicron, xylanisolvens
BKHAPHKO_00179	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, ovatus, sp., xylanisolvens
BKHAPHKO_00180	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caecimuris, fragilis, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00181	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	acidifaciens, caecimuris, fragilis, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00182	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, congonensis, finegoldii, fragilis, intestinigallinarum, ovatus, sp., thetaiotaomicron, xylanisolvens
BKHAPHKO_00183	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00184	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00185	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00186	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, caecimuris, fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00187	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00188	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00189	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	fragilis, ovatus, sp., xylanisolvens
BKHAPHKO_00190	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00192	multiphyla	Bacteria	Bacteroidetes, Proteobacteria	Bacteroidales, Enterobacterales	Bacteroides, Escherichia	fragilis, intestinigallinarum, ovatus, sp., xylanisolvens, coli
BKHAPHKO_00193	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
BKHAPHKO_00194	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00195	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
BKHAPHKO_00196	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
