Gene	Annotation	P21.11A	P21.6E	P14.E4	representative	cat	group	phylalist	orderlist	genuslist	specieslist
group_20299	hypothetical protein	FPPGKPMM_04548	KFKNDGEA_00311	BKHAPHKO_00575	BKHAPHKO_00575	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20300	TonB-dependent receptor P3	FPPGKPMM_04547	KFKNDGEA_00310	BKHAPHKO_00574	BKHAPHKO_00574	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20301	hypothetical protein	FPPGKPMM_04546	KFKNDGEA_00309	BKHAPHKO_00573	BKHAPHKO_00573	singlespecies	Bacteroides_other	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, sp.
group_20302	Beta-galactosidase	FPPGKPMM_02938	KFKNDGEA_00308	BKHAPHKO_00572	BKHAPHKO_00572	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20303	Beta-galactosidase BoGH2A	FPPGKPMM_02936	KFKNDGEA_00306	BKHAPHKO_00570	BKHAPHKO_00570	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20304	N-acetylglucosamine-6-O-sulfatase	FPPGKPMM_02935	KFKNDGEA_00305	BKHAPHKO_00569	BKHAPHKO_00569	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Phocaeicola	ovatus, sp., vulgatus
rhmA	2-keto-3-deoxy-L-rhamnonate aldolase	FPPGKPMM_02934	KFKNDGEA_00304	BKHAPHKO_00568	BKHAPHKO_00568	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, thetaiotaomicron
group_20306	hypothetical protein	FPPGKPMM_02933	KFKNDGEA_00303	BKHAPHKO_00567	BKHAPHKO_00567	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
gabD	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD	FPPGKPMM_02932	KFKNDGEA_00302	BKHAPHKO_00566	BKHAPHKO_00566	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Phocaeicola	ovatus, sp., vulgatus
group_20308	Arylsulfatase	FPPGKPMM_02931	KFKNDGEA_00301	BKHAPHKO_00565	BKHAPHKO_00565	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20309	Ulvan-active sulfatase	FPPGKPMM_02930	KFKNDGEA_00300	BKHAPHKO_00564	BKHAPHKO_00564	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron, xylanisolvens
hypBA1_1	Non-reducing end beta-L-arabinofuranosidase	FPPGKPMM_02929	KFKNDGEA_00299	BKHAPHKO_00563	BKHAPHKO_00563	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Phocaeicola	ovatus, sp., xylanisolvens, vulgatus
gci	D-galactarolactone cycloisomerase	FPPGKPMM_02928	KFKNDGEA_00298	BKHAPHKO_00562	BKHAPHKO_00562	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
rhaT_1	L-rhamnose-proton symporter	FPPGKPMM_02927	KFKNDGEA_00297	BKHAPHKO_00561	BKHAPHKO_00561	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
ftsH_1	ATP-dependent zinc metalloprotease FtsH	FPPGKPMM_02926	KFKNDGEA_00295	BKHAPHKO_00559	BKHAPHKO_00559	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., xylanisolvens
ywlE	Protein-arginine-phosphatase	FPPGKPMM_02925	KFKNDGEA_00294	BKHAPHKO_00558	BKHAPHKO_00558	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20315	hypothetical protein	FPPGKPMM_02923	KFKNDGEA_00292	BKHAPHKO_00556	BKHAPHKO_00556	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20316	hypothetical protein	FPPGKPMM_02922	KFKNDGEA_00291	BKHAPHKO_00555	BKHAPHKO_00555	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., xylanisolvens
group_20317	hypothetical protein	FPPGKPMM_02921	KFKNDGEA_00290	BKHAPHKO_00554	BKHAPHKO_00554	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20318	hypothetical protein	FPPGKPMM_02920	KFKNDGEA_00289	BKHAPHKO_00553	BKHAPHKO_00553	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20319	hypothetical protein	FPPGKPMM_02919	KFKNDGEA_00288	BKHAPHKO_00552	BKHAPHKO_00552	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20320	hypothetical protein	FPPGKPMM_02916	KFKNDGEA_00286	BKHAPHKO_00549	BKHAPHKO_00549	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
prpC	Protein phosphatase PrpC	FPPGKPMM_02915	KFKNDGEA_00285	BKHAPHKO_00548	BKHAPHKO_00548	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20322	hypothetical protein	FPPGKPMM_02914	KFKNDGEA_00284	BKHAPHKO_00547	BKHAPHKO_00547	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20323	hypothetical protein	FPPGKPMM_02913	KFKNDGEA_00283	BKHAPHKO_00546	BKHAPHKO_00546	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., xylanisolvens
group_20324	hypothetical protein	FPPGKPMM_02912	KFKNDGEA_00282	BKHAPHKO_00545	BKHAPHKO_00545	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20325	hypothetical protein	FPPGKPMM_02911	KFKNDGEA_00281	BKHAPHKO_00544	BKHAPHKO_00544	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20326	hypothetical protein	FPPGKPMM_02910	KFKNDGEA_00280	BKHAPHKO_00543	BKHAPHKO_00543	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
group_20327	hypothetical protein	FPPGKPMM_02909	KFKNDGEA_00279	BKHAPHKO_00542	BKHAPHKO_00542	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20328	hypothetical protein	FPPGKPMM_02908	KFKNDGEA_00278	BKHAPHKO_00541	BKHAPHKO_00541	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	finegoldii, ovatus
group_20329	hypothetical protein	FPPGKPMM_02907	KFKNDGEA_00277	BKHAPHKO_00540	BKHAPHKO_00540	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20330	hypothetical protein	FPPGKPMM_02906	KFKNDGEA_00276	BKHAPHKO_00539	BKHAPHKO_00539	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20331	hypothetical protein	FPPGKPMM_02905	KFKNDGEA_00275	BKHAPHKO_00538	BKHAPHKO_00538	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., thetaiotaomicron, xylanisolvens
group_20332	hypothetical protein	FPPGKPMM_02904	KFKNDGEA_00274	BKHAPHKO_00537	BKHAPHKO_00537	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
group_20333	hypothetical protein	FPPGKPMM_02903	KFKNDGEA_00273	BKHAPHKO_00536	BKHAPHKO_00536	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
pgpA_1	Phosphatidylglycerophosphatase A	FPPGKPMM_02901	KFKNDGEA_00269	BKHAPHKO_00534	BKHAPHKO_00534	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20336	hypothetical protein	FPPGKPMM_02899	KFKNDGEA_00267	BKHAPHKO_00531	BKHAPHKO_00531	multigenus	Bacteroidales	Bacteroidetes	Bacteroidales	Bacteroides, Porphyromonas	acidifaciens, finegoldii, ovatus, sp., stercorirosoris, xylanisolvens, levii
group_20337	hypothetical protein	FPPGKPMM_02895	KFKNDGEA_00263	BKHAPHKO_00527	BKHAPHKO_00527	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, xylanisolvens
group_20338	hypothetical protein	FPPGKPMM_02892	KFKNDGEA_00260	BKHAPHKO_00524	BKHAPHKO_00524	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20927	hypothetical protein	FPPGKPMM_02924	KFKNDGEA_00293	BKHAPHKO_00557	BKHAPHKO_00557	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., xylanisolvens
group_3074	Beta-galactosidase BoGH2A	FPPGKPMM_01470	KFKNDGEA_00341	BKHAPHKO_03062	BKHAPHKO_03062	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_4677	hypothetical protein	FPPGKPMM_04553	"KFKNDGEA_00316	KFKNDGEA_00317"	BKHAPHKO_00580	BKHAPHKO_00580	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_4678	hypothetical protein	"FPPGKPMM_02918	FPPGKPMM_02917"	KFKNDGEA_00287	"BKHAPHKO_00551	BKHAPHKO_00550"	BKHAPHKO_00551	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, finegoldii, ovatus, sp., thetaiotaomicron, xylanisolvens
kdpB_1	Potassium-transporting ATPase ATP-binding subunit	FPPGKPMM_02900	KFKNDGEA_00268	"BKHAPHKO_00533	BKHAPHKO_00532"	BKHAPHKO_00533	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., xylanisolvens
group_7683	Ulvan-active sulfatase	FPPGKPMM_01471	KFKNDGEA_00342	BKHAPHKO_03061	BKHAPHKO_03061	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_7684	Putative beta-glucuronidase	FPPGKPMM_01473	KFKNDGEA_00344	BKHAPHKO_03059	BKHAPHKO_03059	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_7685	N-acetylgalactosamine-6-O-sulfatase	FPPGKPMM_01474	KFKNDGEA_00345	BKHAPHKO_03058	BKHAPHKO_03058	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
glaB_1	Alpha-1,3-galactosidase B	FPPGKPMM_01475	KFKNDGEA_00346	BKHAPHKO_03057	BKHAPHKO_03057	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_7687	N-acetylgalactosamine-6-O-sulfatase	FPPGKPMM_01476	KFKNDGEA_00347	BKHAPHKO_03056	BKHAPHKO_03056	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
atsA_7	Arylsulfatase	FPPGKPMM_01477	KFKNDGEA_00348	BKHAPHKO_03055	BKHAPHKO_03055	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
group_7854	hypothetical protein	FPPGKPMM_02937	KFKNDGEA_00307	BKHAPHKO_00571	BKHAPHKO_00571	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron, xylanisolvens
group_20520	hypothetical protein	FPPGKPMM_04554	KFKNDGEA_00318	BKHAPHKO_03091	BKHAPHKO_03091	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20521	Ulvan-active sulfatase	FPPGKPMM_01441	KFKNDGEA_00319	BKHAPHKO_03090	BKHAPHKO_03090	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	acidifaciens, ovatus, sp., thetaiotaomicron, xylanisolvens
glcC	Glc operon transcriptional activator	FPPGKPMM_01442	KFKNDGEA_00320	BKHAPHKO_03089	BKHAPHKO_03089	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
lutR_1	HTH-type transcriptional regulator LutR	FPPGKPMM_01443	KFKNDGEA_00322	BKHAPHKO_03088	BKHAPHKO_03088	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20524	hypothetical protein	FPPGKPMM_01445	KFKNDGEA_00324	BKHAPHKO_03086	BKHAPHKO_03086	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
tatA_1	Sec-independent protein translocase protein TatA	FPPGKPMM_01446	KFKNDGEA_00325	BKHAPHKO_03085	BKHAPHKO_03085	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20526	hypothetical protein	FPPGKPMM_01447	KFKNDGEA_00326	BKHAPHKO_03084	BKHAPHKO_03084	singlespecies	Bacteroides_xylanisolvens	Bacteroidetes	Bacteroidales	Bacteroides	sp., xylanisolvens
group_20527	hypothetical protein	FPPGKPMM_01449	KFKNDGEA_00329	BKHAPHKO_03082	BKHAPHKO_03082	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
group_20528	TonB-dependent receptor P3	FPPGKPMM_01450	KFKNDGEA_00330	BKHAPHKO_03081	BKHAPHKO_03081	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20529	hypothetical protein	FPPGKPMM_01451	KFKNDGEA_00331	BKHAPHKO_03080	BKHAPHKO_03080	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20530	hypothetical protein	FPPGKPMM_01453	KFKNDGEA_00333	BKHAPHKO_03078	BKHAPHKO_03078	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20531	RNA polymerase sigma-H factor	FPPGKPMM_01454	KFKNDGEA_00334	BKHAPHKO_03077	BKHAPHKO_03077	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20704	hypothetical protein	FPPGKPMM_01455	KFKNDGEA_00335	BKHAPHKO_03076	BKHAPHKO_03076	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_4681	hypothetical protein	FPPGKPMM_01448	"KFKNDGEA_00328	KFKNDGEA_00327"	BKHAPHKO_03083	BKHAPHKO_03083	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
group_4682	TonB-dependent receptor SusC	FPPGKPMM_01452	KFKNDGEA_00332	BKHAPHKO_03079	BKHAPHKO_03079	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20334	hypothetical protein	FPPGKPMM_02902	NA	BKHAPHKO_00535	BKHAPHKO_00535	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
group_20561	hypothetical protein	FPPGKPMM_01502	NA	BKHAPHKO_03028	BKHAPHKO_03028	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20562	hypothetical protein	FPPGKPMM_01503	NA	BKHAPHKO_03027	BKHAPHKO_03027	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus
group_20563	hypothetical protein	FPPGKPMM_01504	NA	BKHAPHKO_03026	BKHAPHKO_03026	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20564	hypothetical protein	FPPGKPMM_01505	NA	BKHAPHKO_03025	BKHAPHKO_03025	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron
group_20565	hypothetical protein	FPPGKPMM_01506	NA	BKHAPHKO_03024	BKHAPHKO_03024	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20566	hypothetical protein	FPPGKPMM_01507	NA	BKHAPHKO_03023	BKHAPHKO_03023	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20567	hypothetical protein	FPPGKPMM_01508	NA	BKHAPHKO_03022	BKHAPHKO_03022	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20568	hypothetical protein	FPPGKPMM_01509	NA	BKHAPHKO_03021	BKHAPHKO_03021	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20569	hypothetical protein	FPPGKPMM_01510	NA	BKHAPHKO_03020	BKHAPHKO_03020	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20570	hypothetical protein	FPPGKPMM_01511	NA	BKHAPHKO_03019	BKHAPHKO_03019	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20571	hypothetical protein	FPPGKPMM_01512	NA	BKHAPHKO_03018	BKHAPHKO_03018	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	caecigallinarum, ovatus, sp.
group_20572	hypothetical protein	FPPGKPMM_01513	NA	BKHAPHKO_03017	BKHAPHKO_03017	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron
group_20573	hypothetical protein	FPPGKPMM_01514	NA	BKHAPHKO_03016	BKHAPHKO_03016	singlespecies	Bacteroides_ovatus	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp.
group_20532	TonB-dependent receptor P26	FPPGKPMM_01456	NA	BKHAPHKO_03075	BKHAPHKO_03075	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron
group_20533	SusD-like protein P2	FPPGKPMM_01457	NA	BKHAPHKO_03074	BKHAPHKO_03074	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, thetaiotaomicron
group_20534	Ulvan-active sulfatase	FPPGKPMM_01458	NA	BKHAPHKO_03073	BKHAPHKO_03073	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20535	hypothetical protein	FPPGKPMM_01459	NA	BKHAPHKO_03072	BKHAPHKO_03072	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20536	hypothetical protein	FPPGKPMM_01460	NA	BKHAPHKO_03071	BKHAPHKO_03071	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20537	Unsaturated 3S-rhamnoglycuronyl hydrolase	FPPGKPMM_01461	NA	BKHAPHKO_03070	BKHAPHKO_03070	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron
group_20538	Beta-galactosidase	FPPGKPMM_01462	NA	BKHAPHKO_03069	BKHAPHKO_03069	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20539	hypothetical protein	FPPGKPMM_01463	NA	BKHAPHKO_03068	BKHAPHKO_03068	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20540	hypothetical protein	FPPGKPMM_01464	NA	BKHAPHKO_03067	BKHAPHKO_03067	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20541	Arylsulfatase	FPPGKPMM_01465	NA	BKHAPHKO_03066	BKHAPHKO_03066	multispecies	Bacteroides	Bacteroidetes	Bacteroidales	Bacteroides	ovatus, sp., thetaiotaomicron
group_20542	hypothetical protein	FPPGKPMM_01466	NA	BKHAPHKO_03065	BKHAPHKO_03065	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
uidA_2	Beta-glucuronidase	FPPGKPMM_01467	NA	BKHAPHKO_03064	BKHAPHKO_03064	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20544	hypothetical protein	FPPGKPMM_01478	NA	BKHAPHKO_03054	BKHAPHKO_03054	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20545	hypothetical protein	FPPGKPMM_01479	NA	BKHAPHKO_03053	BKHAPHKO_03053	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20546	hypothetical protein	FPPGKPMM_01480	NA	BKHAPHKO_03052	BKHAPHKO_03052	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20547	hypothetical protein	FPPGKPMM_01481	NA	BKHAPHKO_03051	BKHAPHKO_03051	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20548	hypothetical protein	FPPGKPMM_01482	NA	BKHAPHKO_03050	BKHAPHKO_03050	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20549	hypothetical protein	FPPGKPMM_01483	NA	BKHAPHKO_03049	BKHAPHKO_03049	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
cgiA	Iota-carrageenase	FPPGKPMM_01484	NA	BKHAPHKO_03048	BKHAPHKO_03048	unclassified	Bacteroides_sp.	Bacteroidetes	Bacteroidales	Bacteroides	sp.
cglA_1	Lambda-carrageenase	FPPGKPMM_01485	NA	BKHAPHKO_03047	BKHAPHKO_03047	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
cglA_2	Lambda-carrageenase	FPPGKPMM_01486	NA	BKHAPHKO_03046	BKHAPHKO_03046	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
group_20553	Ulvan-active sulfatase	FPPGKPMM_01487	NA	BKHAPHKO_03045	BKHAPHKO_03045	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20554	Ulvan-active sulfatase	FPPGKPMM_01489	NA	BKHAPHKO_03043	BKHAPHKO_03043	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20555	Beta-galactosidase	FPPGKPMM_01490	NA	BKHAPHKO_03042	BKHAPHKO_03042	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20556	hypothetical protein	FPPGKPMM_01491	NA	BKHAPHKO_03041	BKHAPHKO_03041	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	sp., thetaiotaomicron
group_20557	TonB-dependent receptor P3	FPPGKPMM_01492	NA	BKHAPHKO_03040	BKHAPHKO_03040	singlespecies	Bacteroides_thetaiotaomicron	Bacteroidetes	Bacteroidales	Bacteroides	thetaiotaomicron
