func_group	func_annot	gorilla1_P21.11A	mixedhost_P14.E4	gorilla2_P21.6E	total
COG1621@2|Bacteria / COG3291@2|Bacteria_NA_NA	hypothetical protein	1	1	2	4
COG1649@2|Bacteria_K05970_NA	hypothetical protein	2	1	1	4
COG2273@2|Bacteria_NA_GH16	Beta-glucanase,hypothetical protein,Beta-agarase C,Kappa-carrageenase,Keratan-sulfate endo-1,4-beta-galactosidase	1	2	1	4
COG3385@2|Bacteria_K07495_NA	hypothetical protein,IS4 family transposase ISCARN70,IS4 family transposase ISCARN93,IS4 family transposase IS4,IS4 family transposase IS943	1	2	1	4
COG3385@2|Bacteria_NA_NA	IS1380 family transposase ISBfi1,IS4 family transposase ISDra7,hypothetical protein,IS4 family transposase ISBf13,IS4 family transposase IS943,IS1380 family transposase ISBvu1,IS4 family transposase ISBf8,IS1380 family transposase IS942	1	1	2	4
COG4225@2|Bacteria_K15532_GH105	Unsaturated 3S-rhamnoglycuronyl hydrolase,Unsaturated rhamnogalacturonyl hydrolase YteR,hypothetical protein	1	1	2	4
COG4249@2|Bacteria_K22684_NA	hypothetical protein	1	2	1	4
COG5545@2|Bacteria_NA_NA	hypothetical protein	1	2	1	4
2ZIR1@2|Bacteria_NA_NA	hypothetical protein	1	1	1	3
2ZQRJ@2|Bacteria_NA_NA	hypothetical protein	1	1	1	3
32SDB@2|Bacteria_NA_NA	hypothetical protein	1	1	1	3
COG0394@2|Bacteria_NA_NA	Putative low molecular weight protein-tyrosine-phosphatase,hypothetical protein,Protein-arginine-phosphatase	1	1	1	3
COG0631@2|Bacteria_K20074_NA	Protein phosphatase PrpC,hypothetical protein	1	1	1	3
COG1012@2|Bacteria_NA_NA	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,hypothetical protein	1	1	1	3
COG1267@2|Bacteria_K01095_NA	Phosphatidylglycerophosphatase A	1	1	1	3
COG1826@2|Bacteria_K03116_NA	Sec-independent protein translocase protein TatA	1	1	1	3
COG1853@2|Bacteria_NA_NA	hypothetical protein,Flavoredoxin	1	1	1	3
COG1874@2|Bacteria_NA_GH167	hypothetical protein	1	1	1	3
COG1913@2|Bacteria_K06974_NA	hypothetical protein	1	1	1	3
COG2856@2|Bacteria / COG3093@2|Bacteria_K18831_NA	hypothetical protein	1	1	1	3
COG3150@2|Bacteria_K07000_NA	hypothetical protein	1	1	1	3
COG3292@2|Bacteria / COG3437@2|Bacteria / COG5002@2|Bacteria_NA_NA	Sensor histidine kinase RcsC	1	1	1	3
COG3533@2|Bacteria_K09955_GH127	hypothetical protein,Non-reducing end beta-L-arabinofuranosidase	1	1	1	3
COG3757@2|Bacteria_K07273_GH25	hypothetical protein	1	1	1	3
COG3836@2|Bacteria_K02510_NA	2-keto-3-deoxy-L-rhamnonate aldolase	1	1	1	3
COG4289@2|Bacteria_NA_GH154	hypothetical protein	1	1	1	3
COG4948@2|Bacteria_K18983_NA	D-galactarolactone cycloisomerase	1	1	1	3
COG5377@2|Bacteria_NA_NA	hypothetical protein	1	1	1	3
NA_NA_GH167	hypothetical protein	1	1	1	3
