Gene	copynum_iso1	copynum_iso2	iso1	iso2	diff	copy_diff	mrca	MRCA_iso1	MRCA_iso2	geneGainLoss	Gene.ID	contig	name	rank	is_dup	cluster_size	comp
group_11154	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02119	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11155	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02120	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
rhmA	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02121	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11157	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02122	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
gabD	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02123	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
atsA_7	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02124	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11160	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02125	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11161	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02126	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
gci	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02127	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
rhaT_2	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02128	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11164	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02130	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
ywlE	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02131	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11166	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02133	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11167	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02134	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11168	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02135	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11169	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02136	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11170	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02137	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11171	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02139	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
prpC	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02140	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11173	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02141	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11174	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02142	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11175	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02143	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11176	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02144	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11177	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02145	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11178	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02146	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11179	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02147	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11180	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02148	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11181	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02149	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11182	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02150	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11183	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02151	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11184	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02152	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
pgpA_1	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02156	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
kdpB_1	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02157	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11190	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02158	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11192	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02162	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11193	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02165	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11194	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02169	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_1355	2	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	2	0	gain	nochange	iso1_gain	BFMBHHKK_02104	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_1355	2	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	2	0	gain	nochange	iso1_gain	BFMBHHKK_02106	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_1965	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02076	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_24359	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02132	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4501	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02075	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4502	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02092	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4504	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02098	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4505	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02099	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4506	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02129	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_4507	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02138	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6876	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02036	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6877	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02069	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6878	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02070	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
glaB_1	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02071	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6880	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02072	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6881	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02073	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6882	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02074	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6890	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02090	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6891	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02091	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6892	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02093	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6893	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02094	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6894	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02102	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6896	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02117	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_6897	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02118	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11125	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02060	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
group_11126	1	0	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	GCA.015557585.1.ASM1555758v1	GCA.000273195.1.Bact.ovat.CL02T12C04.V1	1	0	gain	nochange	iso1_gain	BFMBHHKK_02061	JH724226.1	group_11104_group_11194_41	41	0	129	GCA.000273195.1.Bact.ovat.CL02T12C04.V1_GCA.015557585.1.ASM1555758v1
